-0.49950 1.00000 0.00000 1.00000
-0.27750 -nan -nan -nan
-0.27650 -nan -nan -nan
-0.27550 -nan -nan -nan
-0.27450 -nan -nan -nan
-0.27350 -nan -nan -nan
-0.27250 -nan -nan -nan
-0.27150 -nan -nan -nan
-0.27050 -nan -nan -nan
-0.26950 -nan -nan -nan
-0.26850 -nan -nan -nan
-0.26750 -nan -nan -nan
-0.26650 -nan -nan -nan
-0.26550 -nan -nan -nan
-0.26450 -nan -nan -nan
-0.26350 -nan -nan -nan
-0.26250 -nan -nan -nan
-0.26150 -nan -nan -nan
-0.26050 -nan -nan -nan
-0.25950 -nan -nan -nan
-0.25850 -nan -nan -nan
-0.25750 -nan -nan -nan
-0.25650 -nan -nan -nan
-0.25550 -nan -nan -nan
-0.25450 -nan -nan -nan
-0.25350 -nan -nan -nan
-0.25250 -nan -nan -nan
-0.25150 -nan -nan -nan
-0.25050 -nan -nan -nan
-0.24950 -nan -nan -nan
-0.24850 -nan -nan -nan
-0.24750 -nan -nan -nan
-0.24650 -nan -nan -nan
-0.24550 -nan -nan -nan
-0.24450 -nan -nan -nan
-0.24350 -nan -nan -nan
-0.24250 -nan -nan -nan
-0.24150 -nan -nan -nan
-0.24050 -nan -nan -nan
-0.23950 -nan -nan -nan
-0.23850 -nan -nan -nan
-0.23750 -nan -nan -nan
-0.23650 -nan -nan -nan
-0.23550 -nan -nan -nan
-0.23450 -nan -nan -nan
-0.23350 -nan -nan -nan
-0.23250 -nan -nan -nan
-0.23150 -nan -nan -nan
-0.23050 -nan -nan -nan
-0.22950 -nan -nan -nan
-0.22850 -nan -nan -nan
-0.22750 -nan -nan -nan
-0.22650 -nan -nan -nan
-0.22550 -nan -nan -nan
-0.22450 -nan -nan -nan
-0.22350 -nan -nan -nan
-0.22250 -nan -nan -nan
-0.22150 -nan -nan -nan
-0.22050 -nan -nan -nan
-0.21950 -nan -nan -nan
-0.21850 -nan -nan -nan
-0.21750 -nan -nan -nan
-0.21650 -nan -nan -nan
-0.21550 -nan -nan -nan
-0.21450 -nan -nan -nan
-0.21350 -nan -nan -nan
-0.21250 -nan -nan -nan
-0.21150 -nan -nan -nan
-0.21050 -nan -nan -nan
-0.20950 -nan -nan -nan
-0.20850 -nan -nan -nan
-0.20750 -nan -nan -nan
-0.20650 -nan -nan -nan
-0.20550 -nan -nan -nan
-0.20450 -nan -nan -nan
-0.20350 -nan -nan -nan
-0.20250 -nan -nan -nan
-0.20150 -nan -nan -nan
-0.20050 -nan -nan -nan
-0.19950 -nan -nan -nan
-0.19850 -nan -nan -nan
-0.19750 -nan -nan -nan
-0.19650 -nan -nan -nan
-0.19550 -nan -nan -nan
-0.19450 -nan -nan -nan
-0.19350 -nan -nan -nan
-0.19250 -nan -nan -nan
-0.19150 -nan -nan -nan
-0.19050 -nan -nan -nan
-0.18950 -nan -nan -nan
-0.18850 -nan -nan -nan
-0.18750 -nan -nan -nan
-0.18650 -nan -nan -nan
-0.18550 -nan -nan -nan
-0.18450 -nan -nan -nan
-0.18350 -nan -nan -nan
-0.18250 -nan -nan -nan
-0.18150 -nan -nan -nan
-0.18050 -nan -nan -nan
-0.17950 -nan -nan -nan
-0.17850 -nan -nan -nan
-0.17750 -nan -nan -nan
-0.17650 -nan -nan -nan
-0.17550 -nan -nan -nan
-0.17450 -nan -nan -nan
-0.17350 -nan -nan -nan
-0.17250 -nan -nan -nan
-0.17150 -nan -nan -nan
-0.17050 -nan -nan -nan
-0.16950 -nan -nan -nan
-0.16850 -nan -nan -nan
-0.16750 -nan -nan -nan
-0.16650 -nan -nan -nan
-0.16550 -nan -nan -nan
-0.16450 -nan -nan -nan
-0.16350 -nan -nan -nan
-0.16250 -nan -nan -nan
-0.16150 -nan -nan -nan
-0.16050 -nan -nan -nan
-0.15950 -nan -nan -nan
-0.15850 -nan -nan -nan
-0.15750 -nan -nan -nan
-0.15650 -nan -nan -nan
-0.15550 -nan -nan -nan
-0.15450 -nan -nan -nan
-0.15350 -nan -nan -nan
-0.15250 -nan -nan -nan
-0.15150 -nan -nan -nan
-0.15050 -nan -nan -nan
-0.14950 -nan -nan -nan
-0.14850 -nan -nan -nan
-0.14750 -nan -nan -nan
-0.14650 -nan -nan -nan
-0.14550 -nan -nan -nan
-0.14450 -nan -nan -nan
-0.14350 -nan -nan -nan
-0.14250 -nan -nan -nan
-0.14150 -nan -nan -nan
-0.14050 -nan -nan -nan
-0.13950 -nan -nan -nan
-0.13850 -nan -nan -nan
-0.13750 -nan -nan -nan
-0.13650 -nan -nan -nan
-0.13550 -nan -nan -nan
-0.13450 -nan -nan -nan
-0.13350 -nan -nan -nan
-0.13250 -nan -nan -nan
-0.13150 -nan -nan -nan
-0.13050 -nan -nan -nan
-0.12950 -nan -nan -nan
-0.12850 -nan -nan -nan
-0.12750 -nan -nan -nan
-0.12650 -nan -nan -nan
-0.12550 -nan -nan -nan
-0.12450 -nan -nan -nan
-0.12350 -nan -nan -nan
-0.12250 -nan -nan -nan
-0.12150 -nan -nan -nan
-0.12050 -nan -nan -nan
-0.11950 -nan -nan -nan
-0.11850 -nan -nan -nan
-0.11750 -nan -nan -nan
-0.11650 -nan -nan -nan
-0.11550 -nan -nan -nan
-0.11450 -nan -nan -nan
-0.11350 -nan -nan -nan
-0.11250 -nan -nan -nan
-0.11150 -nan -nan -nan
-0.11050 -nan -nan -nan
-0.10950 -nan -nan -nan
-0.10850 -nan -nan -nan
-0.10750 -nan -nan -nan
-0.10650 -nan -nan -nan
-0.10550 -nan -nan -nan
-0.10450 -nan -nan -nan
-0.10350 -nan -nan -nan
-0.10250 -nan -nan -nan
-0.10150 -nan -nan -nan
-0.10050 -nan -nan -nan
-0.09950 -nan -nan -nan
-0.09850 -nan -nan -nan
-0.09750 -nan -nan -nan
-0.09650 -nan -nan -nan
-0.09550 -nan -nan -nan
-0.09450 -nan -nan -nan
-0.09350 -nan -nan -nan
-0.09250 -nan -nan -nan
-0.09150 -nan -nan -nan
-0.09050 -nan -nan -nan
-0.08950 -nan -nan -nan
-0.08850 -nan -nan -nan
-0.08750 -nan -nan -nan
-0.08650 -nan -nan -nan
-0.08550 -nan -nan -nan
-0.08450 -nan -nan -nan
-0.08350 -nan -nan -nan
-0.08250 -nan -nan -nan
-0.08150 -nan -nan -nan
-0.08050 -nan -nan -nan
-0.07950 -nan -nan -nan
-0.07850 -nan -nan -nan
-0.07750 -nan -nan -nan
-0.07650 -nan -nan -nan
-0.07550 -nan -nan -nan
-0.07450 -nan -nan -nan
-0.07350 -nan -nan -nan
-0.07250 -nan -nan -nan
-0.07150 -nan -nan -nan
-0.07050 -nan -nan -nan
-0.06950 -nan -nan -nan
-0.06850 -nan -nan -nan
-0.06750 -nan -nan -nan
-0.06650 -nan -nan -nan
-0.06550 -nan -nan -nan
-0.06450 -nan -nan -nan
-0.06350 -nan -nan -nan
-0.06250 -nan -nan -nan
-0.06150 -nan -nan -nan
-0.06050 -nan -nan -nan
-0.05950 -nan -nan -nan
-0.05850 -nan -nan -nan
-0.05750 -nan -nan -nan
-0.05650 -nan -nan -nan
-0.05550 -nan -nan -nan
-0.05450 -nan -nan -nan
-0.05350 -nan -nan -nan
-0.05250 -nan -nan -nan
-0.05150 -nan -nan -nan
-0.05050 -nan -nan -nan
-0.04950 -nan -nan -nan
-0.04850 -nan -nan -nan
-0.04750 -nan -nan -nan
-0.04650 -nan -nan -nan
-0.04550 -nan -nan -nan
-0.04450 -nan -nan -nan
-0.04350 -nan -nan -nan
-0.04250 -nan -nan -nan
-0.04150 -nan -nan -nan
-0.04050 -nan -nan -nan
-0.03950 -nan -nan -nan
-0.03850 -nan -nan -nan
-0.03750 -nan -nan -nan
-0.03650 -nan -nan -nan
-0.03550 -nan -nan -nan
-0.03450 -nan -nan -nan
-0.03350 -nan -nan -nan
-0.03250 -nan -nan -nan
-0.03150 -nan -nan -nan
-0.03050 -nan -nan -nan
-0.02950 -nan -nan -nan
-0.02850 -nan -nan -nan
-0.02750 -nan -nan -nan
-0.02650 -nan -nan -nan
-0.02550 -nan -nan -nan
-0.02450 -nan -nan -nan
-0.02350 -nan -nan -nan
-0.02250 -nan -nan -nan
-0.02150 -nan -nan -nan
-0.02050 -nan -nan -nan
-0.01950 -nan -nan -nan
-0.01850 -nan -nan -nan
-0.01750 -nan -nan -nan
-0.01650 -nan -nan -nan
-0.01550 -nan -nan -nan
-0.01450 -nan -nan -nan
-0.01350 -nan -nan -nan
-0.01250 -nan -nan -nan
-0.01150 -nan -nan -nan
-0.01050 -nan -nan -nan
-0.00950 -nan -nan -nan
-0.00850 -nan -nan -nan
-0.00750 -nan -nan -nan
-0.00650 -nan -nan -nan
-0.00550 -nan -nan -nan
-0.00450 -nan -nan -nan
-0.00350 -nan -nan -nan
-0.00250 -nan -nan -nan
-0.00150 -nan -nan -nan
-0.00050 -nan -nan -nan
0.00050 -nan -nan -nan
0.00150 -nan -nan -nan
0.00250 -nan -nan -nan
0.00350 -nan -nan -nan
0.00450 -nan -nan -nan
0.00550 -nan -nan -nan
0.00650 -nan -nan -nan
0.00750 -nan -nan -nan
0.00850 -nan -nan -nan
0.00950 -nan -nan -nan
0.01050 -nan -nan -nan
0.01150 -nan -nan -nan
0.01250 -nan -nan -nan
0.01350 -nan -nan -nan
0.01450 -nan -nan -nan
0.01550 -nan -nan -nan
0.01650 -nan -nan -nan
0.01750 -nan -nan -nan
0.01850 -nan -nan -nan
0.01950 -nan -nan -nan
0.02050 -nan -nan -nan
0.02150 -nan -nan -nan
0.02250 -nan -nan -nan
0.02350 -nan -nan -nan
0.02450 -nan -nan -nan
0.02550 -nan -nan -nan
0.02650 -nan -nan -nan
0.02750 -nan -nan -nan
0.02850 -nan -nan -nan
0.02950 -nan -nan -nan
0.03050 -nan -nan -nan
0.03150 -nan -nan -nan
0.03250 -nan -nan -nan
0.03350 -nan -nan -nan
0.03450 -nan -nan -nan
0.03550 -nan -nan -nan
0.03650 -nan -nan -nan
0.03750 -nan -nan -nan
0.03850 -nan -nan -nan
0.03950 -nan -nan -nan
0.04050 -nan -nan -nan
0.04150 -nan -nan -nan
0.04250 -nan -nan -nan
0.04350 -nan -nan -nan
0.04450 -nan -nan -nan
0.04550 -nan -nan -nan
0.04650 -nan -nan -nan
0.04750 -nan -nan -nan
0.04850 -nan -nan -nan
0.04950 -nan -nan -nan
0.05050 -nan -nan -nan
0.05150 -nan -nan -nan
0.05250 -nan -nan -nan
0.05350 -nan -nan -nan
0.05450 -nan -nan -nan
0.05550 -nan -nan -nan
0.05650 -nan -nan -nan
0.05750 -nan -nan -nan
0.05850 -nan -nan -nan
0.05950 -nan -nan -nan
0.06050 -nan -nan -nan
0.06150 -nan -nan -nan
0.06250 -nan -nan -nan
0.06350 -nan -nan -nan
0.06450 -nan -nan -nan
0.06550 -nan -nan -nan
0.06650 -nan -nan -nan
0.06750 -nan -nan -nan
0.06850 -nan -nan -nan
0.06950 -nan -nan -nan
0.07050 -nan -nan -nan
0.07150 -nan -nan -nan
0.07250 -nan -nan -nan
0.07350 -nan -nan -nan
0.07450 -nan -nan -nan
0.07550 -nan -nan -nan
0.07650 -nan -nan -nan
0.07750 -nan -nan -nan
0.07850 -nan -nan -nan
0.07950 -nan -nan -nan
0.08050 -nan -nan -nan
0.08150 -nan -nan -nan
0.08250 -nan -nan -nan
0.08350 -nan -nan -nan
0.08450 -nan -nan -nan
0.08550 -nan -nan -nan
0.08650 -nan -nan -nan
0.08750 -nan -nan -nan
0.08850 -nan -nan -nan
0.08950 -nan -nan -nan
0.09050 -nan -nan -nan
0.09150 -nan -nan -nan
0.09250 -nan -nan -nan
0.09350 -nan -nan -nan
0.09450 -nan -nan -nan
0.09550 -nan -nan -nan
0.09650 -nan -nan -nan
0.09750 -nan -nan -nan
0.09850 -nan -nan -nan
0.09950 -nan -nan -nan
0.10050 -nan -nan -nan
0.10150 -nan -nan -nan
0.10250 -nan -nan -nan
0.10350 -nan -nan -nan
0.10450 -nan -nan -nan
0.10550 -nan -nan -nan
0.10650 -nan -nan -nan
0.10750 -nan -nan -nan
0.10850 -nan -nan -nan
0.10950 -nan -nan -nan
0.11050 -nan -nan -nan
0.11150 -nan -nan -nan
0.11250 -nan -nan -nan
0.11350 -nan -nan -nan
0.11450 -nan -nan -nan
0.11550 -nan -nan -nan
0.11650 -nan -nan -nan
0.11750 -nan -nan -nan
0.11850 -nan -nan -nan
0.11950 -nan -nan -nan
0.12050 -nan -nan -nan
0.12150 -nan -nan -nan
0.12250 -nan -nan -nan
0.12350 -nan -nan -nan
0.12450 -nan -nan -nan
0.12550 -nan -nan -nan
0.12650 -nan -nan -nan
0.12750 -nan -nan -nan
0.12850 -nan -nan -nan
0.12950 -nan -nan -nan
0.13050 -nan -nan -nan
0.13150 -nan -nan -nan
0.13250 -nan -nan -nan
0.13350 -nan -nan -nan
0.13450 -nan -nan -nan
0.13550 -nan -nan -nan
0.13650 -nan -nan -nan
0.13750 -nan -nan -nan
0.13850 -nan -nan -nan
0.13950 -nan -nan -nan
0.14050 -nan -nan -nan
0.14150 -nan -nan -nan
0.14250 -nan -nan -nan
0.14350 -nan -nan -nan
0.14450 -nan -nan -nan
0.14550 -nan -nan -nan
0.14650 -nan -nan -nan
0.14750 -nan -nan -nan
0.14850 -nan -nan -nan
0.14950 -nan -nan -nan
0.15050 -nan -nan -nan
0.15150 -nan -nan -nan
0.15250 -nan -nan -nan
0.15350 -nan -nan -nan
0.15450 -nan -nan -nan
0.15550 -nan -nan -nan
0.15650 -nan -nan -nan
0.15750 -nan -nan -nan
0.15850 -nan -nan -nan
0.15950 -nan -nan -nan
0.16050 -nan -nan -nan
0.16150 -nan -nan -nan
0.16250 -nan -nan -nan
0.16350 -nan -nan -nan
0.16450 -nan -nan -nan
0.16550 -nan -nan -nan
0.16650 -nan -nan -nan
0.16750 -nan -nan -nan
0.16850 -nan -nan -nan
0.16950 -nan -nan -nan
0.17050 -nan -nan -nan
0.17150 -nan -nan -nan
0.17250 -nan -nan -nan
0.17350 -nan -nan -nan
0.17450 -nan -nan -nan
0.17550 -nan -nan -nan
0.17650 -nan -nan -nan
0.17750 -nan -nan -nan
0.17850 -nan -nan -nan
0.17950 -nan -nan -nan
0.18050 -nan -nan -nan
0.18150 -nan -nan -nan
0.18250 -nan -nan -nan
0.18350 -nan -nan -nan
0.18450 -nan -nan -nan
0.18550 -nan -nan -nan
0.18650 -nan -nan -nan
0.18750 -nan -nan -nan
0.18850 -nan -nan -nan
0.18950 -nan -nan -nan
0.19050 -nan -nan -nan
0.19150 -nan -nan -nan
0.19250 -nan -nan -nan
0.19350 -nan -nan -nan
0.19450 -nan -nan -nan
0.19550 -nan -nan -nan
0.19650 -nan -nan -nan
0.19750 -nan -nan -nan
0.19850 -nan -nan -nan
0.19950 -nan -nan -nan
0.20050 -nan -nan -nan
0.20150 -nan -nan -nan
0.20250 -nan -nan -nan
0.20350 -nan -nan -nan
0.20450 -nan -nan -nan
0.20550 -nan -nan -nan
0.20650 -nan -nan -nan
0.20750 -nan -nan -nan
0.20850 -nan -nan -nan
0.20950 -nan -nan -nan
0.21050 -nan -nan -nan
0.21150 -nan -nan -nan
0.21250 -nan -nan -nan
0.21350 -nan -nan -nan
0.21450 -nan -nan -nan
0.21550 -nan -nan -nan
0.21650 -nan -nan -nan
0.21750 -nan -nan -nan
0.21850 -nan -nan -nan
0.21950 -nan -nan -nan
0.22050 -nan -nan -nan
0.22150 -nan -nan -nan
0.22250 -nan -nan -nan
0.22350 -nan -nan -nan
0.22450 -nan -nan -nan
0.22550 -nan -nan -nan
0.22650 -nan -nan -nan
0.22750 -nan -nan -nan
0.22850 -nan -nan -nan
0.22950 -nan -nan -nan
0.23050 -nan -nan -nan
0.23150 -nan -nan -nan
0.23250 -nan -nan -nan
0.23350 -nan -nan -nan
0.23450 -nan -nan -nan
0.23550 -nan -nan -nan
0.23650 -nan -nan -nan
0.23750 -nan -nan -nan
0.23850 -nan -nan -nan
0.23950 -nan -nan -nan
0.24050 -nan -nan -nan
0.24150 -nan -nan -nan
0.24250 -nan -nan -nan
0.24350 -nan -nan -nan
0.24450 -nan -nan -nan
0.24550 -nan -nan -nan
0.24650 -nan -nan -nan
0.24750 -nan -nan -nan
0.24850 -nan -nan -nan
0.24950 -nan -nan -nan
0.25050 -nan -nan -nan
0.25150 -nan -nan -nan
0.25250 -nan -nan -nan
0.25350 -nan -nan -nan
0.25450 -nan -nan -nan
0.25550 -nan -nan -nan
0.25650 -nan -nan -nan
0.25750 -nan -nan -nan
0.25850 -nan -nan -nan
0.25950 -nan -nan -nan
0.26050 -nan -nan -nan
0.26150 -nan -nan -nan
0.26250 -nan -nan -nan
0.26350 -nan -nan -nan
0.26450 -nan -nan -nan
0.26550 -nan -nan -nan
0.26650 -nan -nan -nan
0.26750 -nan -nan -nan
0.26850 -nan -nan -nan
0.26950 -nan -nan -nan
0.27050 -nan -nan -nan
0.27150 -nan -nan -nan
0.27250 -nan -nan -nan
0.27350 -nan -nan -nan
0.27450 -nan -nan -nan
0.27550 -nan -nan -nan
0.27650 -nan -nan -nan
0.27750 -nan -nan -nan
0.27850 -nan -nan -nan
0.27950 -nan -nan -nan
0.28050 -nan -nan -nan
0.28150 -nan -nan -nan
0.28250 -nan -nan -nan
0.28350 -nan -nan -nan
0.28450 -nan -nan -nan
0.28550 -nan -nan -nan
0.28650 -nan -nan -nan
0.28750 -nan -nan -nan
0.28850 -nan -nan -nan
0.28950 -nan -nan -nan
0.29050 -nan -nan -nan
0.29150 -nan -nan -nan
0.29250 -nan -nan -nan
0.29350 -nan -nan -nan
0.29450 -nan -nan -nan
0.29550 -nan -nan -nan
0.29650 -nan -nan -nan
0.29750 -nan -nan -nan
0.29850 -nan -nan -nan
0.29950 -nan -nan -nan
0.30050 -nan -nan -nan
0.30150 -nan -nan -nan
0.30250 -nan -nan -nan
0.30350 -nan -nan -nan
0.30450 -nan -nan -nan
0.30550 -nan -nan -nan
0.30650 -nan -nan -nan
0.30750 -nan -nan -nan
0.30850 -nan -nan -nan
0.30950 -nan -nan -nan
0.31050 -nan -nan -nan
0.31150 -nan -nan -nan
0.31250 -nan -nan -nan
0.31350 -nan -nan -nan
0.31450 -nan -nan -nan
0.31550 -nan -nan -nan
0.31650 -nan -nan -nan
0.31750 -nan -nan -nan
0.31850 -nan -nan -nan
0.31950 -nan -nan -nan
0.32050 -nan -nan -nan
0.32150 -nan -nan -nan
0.32250 -nan -nan -nan
0.32350 -nan -nan -nan
0.32450 -nan -nan -nan
0.32550 -nan -nan -nan
0.32650 -nan -nan -nan
0.32750 -nan -nan -nan
0.32850 -nan -nan -nan
0.32950 -nan -nan -nan
0.33050 -nan -nan -nan
0.33150 -nan -nan -nan
0.33250 -nan -nan -nan
0.33350 -nan -nan -nan
0.33450 -nan -nan -nan
0.33550 -nan -nan -nan
0.33650 -nan -nan -nan
0.33750 -nan -nan -nan
0.33850 -nan -nan -nan
0.33950 -nan -nan -nan
0.34050 -nan -nan -nan
0.34150 -nan -nan -nan
0.34250 -nan -nan -nan
0.34350 -nan -nan -nan
0.34450 -nan -nan -nan
0.34550 -nan -nan -nan
0.34650 -nan -nan -nan
0.34750 -nan -nan -nan
0.34850 -nan -nan -nan
0.34950 -nan -nan -nan
0.35050 -nan -nan -nan
0.35150 -nan -nan -nan
0.35250 -nan -nan -nan
0.35350 -nan -nan -nan
0.35450 -nan -nan -nan
0.35550 -nan -nan -nan
0.35650 -nan -nan -nan
0.35750 -nan -nan -nan
0.35850 -nan -nan -nan
0.35950 -nan -nan -nan
0.36050 -nan -nan -nan
0.36150 -nan -nan -nan
0.36250 -nan -nan -nan
0.36350 -nan -nan -nan
0.36450 -nan -nan -nan
0.36550 -nan -nan -nan
0.36650 -nan -nan -nan
0.36750 -nan -nan -nan
0.36850 -nan -nan -nan
0.36950 -nan -nan -nan
0.37050 -nan -nan -nan
0.37150 -nan -nan -nan
0.37250 -nan -nan -nan
0.37350 -nan -nan -nan
0.37450 -nan -nan -nan
0.37550 -nan -nan -nan
0.37650 -nan -nan -nan
0.37750 -nan -nan -nan
0.37850 -nan -nan -nan
0.37950 -nan -nan -nan
0.38050 -nan -nan -nan
0.38150 -nan -nan -nan
0.38250 -nan -nan -nan
0.38350 -nan -nan -nan
0.38450 -nan -nan -nan
0.38550 -nan -nan -nan
0.38650 -nan -nan -nan
0.38750 -nan -nan -nan
0.38850 -nan -nan -nan
0.38950 -nan -nan -nan
0.39050 -nan -nan -nan
0.39150 -nan -nan -nan
0.39250 -nan -nan -nan
0.39350 -nan -nan -nan
0.39450 -nan -nan -nan
0.39550 -nan -nan -nan
0.39650 -nan -nan -nan
0.39750 -nan -nan -nan
